OBJECTID,LSOA11CD,LSOA11NM,X_COORD,Y_COORD,STUD_TOT,STUD_EconActive_InEmployment,STUD_EconActive_Unemployed,STUD_EconInactive
8578,E01011310,Leeds 030D,437937.488,440495.786,71,22,6,43
8579,E01011391,Leeds 087B,438124.285,430423.472,74,20,8,46
8580,E01011311,Leeds 022A,436056.822,441303.455,45,12,0,33
8581,E01011390,Leeds 087A,438522.063,430204.199,70,29,7,34
8582,E01011318,Leeds 090C,427430.387,430397.467,86,26,8,52
8583,E01011399,Leeds 074B,439836.669,432964.063,80,25,9,46
8584,E01011319,Leeds 091C,429296.753,430253.491,74,31,5,38
8585,E01011398,Leeds 077B,441816.835,433513.099,69,23,12,34
8596,E01011276,Leeds 011C,421132.894,440722.676,56,26,0,30
8597,E01011277,Leeds 014A,419867.155,440401.194,54,27,6,21
8598,E01011274,Leeds 010C,420752.714,440834.963,53,14,7,32
8599,E01011275,Leeds 010D,420042.499,440814.136,61,22,5,34
8600,E01011272,Leeds 009D,419525.701,441082.25,62,29,1,32
8601,E01011273,Leeds 010B,420228.722,441237.397,64,20,5,39
8602,E01011270,Leeds 008B,417701.105,441577.301,66,21,1,44
8603,E01011271,Leeds 009C,418667.024,441676.821,94,38,3,53
8604,E01011278,Leeds 014B,420684.374,440039.101,55,24,2,29
8605,E01011279,Leeds 008C,419317.178,442519.091,55,23,5,27
8625,E01011526,Leeds 093C,426422.327,429135.279,73,36,10,27
8626,E01011527,Leeds 096D,422374.288,428355.302,78,38,3,37
8627,E01011524,Leeds 093B,427163.554,429321.366,56,22,4,30
8628,E01011522,Leeds 095B,424889.755,429145.218,56,33,3,20
8629,E01011523,Leeds 096C,424322.034,428840.617,55,25,5,25
8630,E01011520,Leeds 096A,423996.418,429497.363,56,28,8,20
8631,E01011521,Leeds 096B,422252.16,428978.476,56,21,4,31
8632,E01011528,Leeds 095D,426149.758,428863.132,70,32,8,30
8633,E01011529,Leeds 096E,422940.624,428434.955,63,31,8,24
